text,label,source
3. Na today I dey born.,Nigerian,synthetic
4. Abeg no disturb.,Nigerian,synthetic
5. Dem dey sell fish for market.,Nigerian,synthetic
6. I no dey understand English.,Nigerian,synthetic
"7. You dey lie, she no dey here.",Nigerian,synthetic
8. Na me be that.,Nigerian,synthetic
9. Abeg help me carry bag.,Nigerian,synthetic
10. Dem no dey sell bread again.,Nigerian,synthetic
"11. I don tire, I no dey go school today.",Nigerian,synthetic
12. You dey joke with me?,Nigerian,synthetic
"13. Abeg wait, I dey come.",Nigerian,synthetic
"14. She dey form girl, she no dey help person.",Nigerian,synthetic
15. Na wetin you dey find?,Nigerian,synthetic
16. Dem house dey too cost.,Nigerian,synthetic
17. Abeg give me pen.,Nigerian,synthetic
18. I dey feel headache.,Nigerian,synthetic
19. You dey talk nonsense.,Nigerian,synthetic
20. Dem no dey sell data again.,Nigerian,synthetic
21. Abeg help me switch on light.,Nigerian,synthetic
22. I no dey know am.,Nigerian,synthetic
23. You dey speak Pidgin well well.,Nigerian,synthetic
24. Dem no dey sell book for library.,Nigerian,synthetic
"25. I don finish work, I dey go house.",Nigerian,synthetic
26. Abeg no make noise.,Nigerian,synthetic
27. You dey do well.,Nigerian,synthetic
28. Dem car dey park for outside.,Nigerian,synthetic
29. Na me be that one wey dey sing.,Nigerian,synthetic
30. Abeg give me money.,Nigerian,synthetic
"31. I dey hungry, I wan eat.",Nigerian,synthetic
"32. You dey form big man, you no dey help person.",Nigerian,synthetic
33. Na your pikin dey cry.,Nigerian,synthetic
34. Abeg no forget.,Nigerian,synthetic
35. I no dey believe wetin you dey tell me.,Nigerian,synthetic
"36. You dey lie, dem no dey pay you double salary.",Nigerian,synthetic
37. Na him dey call you.,Nigerian,synthetic
38. Abeg no worry.,Nigerian,synthetic
39. I dey think about wetin I go do.,Nigerian,synthetic
40. You dey talk like mad man.,Nigerian,synthetic
41. Dem no dey sell pure water again.,Nigerian,synthetic
"42. Abeg no vex, I no mean wetin I just say.",Nigerian,synthetic
43. I dey feel sick.,Nigerian,synthetic
"44. You dey form teacher, you no dey know book.",Nigerian,synthetic
45. Na my pikin dat one wey dey play football.,Nigerian,synthetic
46. Abeg no mind am.,Nigerian,synthetic
47. I no dey sure say I go come.,Nigerian,synthetic
"48. You dey form fine boy, you no dey help person.",Nigerian,synthetic
49. Na your friend dey wait for you.,Nigerian,synthetic
50. Abeg no forget to lock door.,Nigerian,synthetic
